ticker,date,time,headline,neg,neu,pos,compound
TSLA,2020-05-13,06:22PM,Tesla employees who don&#039;t return to work could lose unemployment benefits,0.346,0.494,0.16,-0.4588
TSLA,2020-05-13,06:17PM,Tesla Plant Buzzing Ahead of Permission to Resume Operations,0.0,1.0,0.0,0.0
TSLA,2020-05-13,05:44PM,"Tesla, California county reach deal to reopen Fremont plant next week",0.0,0.901,0.099,0.0258
TSLA,2020-05-13,05:32PM,Why Tesla Stock Dropped 5% This Morning,0.0,1.0,0.0,0.0
TSLA,2020-05-13,04:48PM,Dow ends 500 points lower after Feds Powell says pandemics hit to economy is worst since World War II,0.389,0.611,0.0,-0.8807
TSLA,2020-05-13,04:10PM,Dow closes 517 points lower Wednesday as Fed's Powell says coronavirus crisis 'without modern precedent',0.326,0.674,0.0,-0.743
TSLA,2020-05-13,04:09PM,Tesla Gets OK To Resume Production If It Meets County Safety Measures,0.0,0.636,0.364,0.694
TSLA,2020-05-13,03:48PM,Alameda County allows Tesla to reopen under new guidelines,0.0,1.0,0.0,0.0
TSLA,2020-05-13,03:46PM,"Musk, Texas governor discuss potential Tesla move",0.0,1.0,0.0,0.0
TSLA,2020-05-13,03:37PM,Are There Investing Opportunities in the Auto Stocks?,0.0,0.729,0.271,0.3818
TSLA,2020-05-13,02:00PM,Tesla Energy: Elon Musk's Next Big Plan,0.0,0.741,0.259,0.2732
GOOG,2020-05-19,04:09PM,Spotify Scoops Up Joe Rogan And His Hugely Popular Podcast,0.0,0.744,0.256,0.4754
GOOG,2020-05-19,03:20PM,"Fortnite, Rappers and the Billion-Dollar Pandemic Gaming Boom",0.0,1.0,0.0,0.0
GOOG,2020-05-19,02:44PM,"Elderly home turns to wearables for contact tracing, sidestepping Apple-Google limits",0.0,1.0,0.0,0.0
GOOG,2020-05-19,02:20PM,Why Global Fund Managers Say This Is a Bear Market Rally,0.0,1.0,0.0,0.0
GOOG,2020-05-19,01:36PM,Building Out Goldman Sachss Private-Equity Business,0.0,1.0,0.0,0.0
GOOG,2020-05-19,01:31PM,FAANG stocks are totally ignoring the COVID-19 pandemic and are approaching this stunning level,0.166,0.667,0.167,0.0018
GOOG,2020-05-19,10:59AM,Facebook Stock Breaks Out Amid Coronavirus; Is This FANG Stock A Good Buy?,0.0,0.791,0.209,0.4404
GOOG,2020-05-19,09:17AM,Where Will Roku Be in 5 Years?,0.0,1.0,0.0,0.0
GOOG,2020-05-19,08:45AM,Better Buy: Netflix vs. Google,0.0,0.58,0.42,0.4404
GOOG,2020-05-19,08:32AM,"Got $3,000? Invest in These 3 High-Growth Stocks Right Now",0.0,1.0,0.0,0.0
GOOG,2020-05-19,08:06AM,YouTube goes after more TV advertisers with new program,0.0,1.0,0.0,0.0
GOOG,2020-05-18,10:22PM,"Sony, Microsoft Strike Deal on Tiny AI Chip With Huge Potential",0.117,0.703,0.18,0.2023
GOOG,2020-05-18,05:47PM,The Dogs of the Market Led Stocks Higher. That Could Be a Bullish Sign.,0.0,1.0,0.0,0.0
GOOG,2020-05-18,05:19PM,"TikTok Raises Profile In Digital Ads, Hires Disney Streaming Boss As CEO",0.0,1.0,0.0,0.0
GOOG,2020-05-18,04:41PM,Facebook Put On Notice it Could Face More Regulation in Europe,0.0,1.0,0.0,0.0
GOOG,2020-05-18,04:09PM,"Who Joins Alibaba, Lululemon On List Of Warren Buffett Stocks To Watch?",0.0,1.0,0.0,0.0
GOOG,2020-05-18,02:24PM,EU Tech Chief Threatens Facebooks CEO With Regulation,0.271,0.729,0.0,-0.3818
GOOG,2020-05-18,01:52PM,Microsoft Bets on Startups to Boost Growth,0.0,0.485,0.515,0.6486
GOOG,2020-05-18,01:45PM,"Here's How Much Investing $1,000 In The 2015 Fitbit IPO Would Be Worth Today",0.0,0.872,0.128,0.2263
GOOG,2020-05-18,11:13AM,3 Funds Set to Gain From Big Tech's Internet Projects,0.0,0.702,0.298,0.5267
